城市,编号,名称,地区,经纬度
北京市,BV10002783,黄村西大街(地铁站),大兴区,"116.332631,39.731769"
北京市,BV10004141,果园(地铁站),通州区,"116.646621,39.893329"
北京市,BV10740313,西北旺(地铁站),海淀区,"116.257923,40.048703"
北京市,BV10000372,黄村火车站(地铁站),大兴区,"116.332611,39.722966"
北京市,BV10000887,平西府(地铁站),昌平区,"116.350425,40.090607"
北京市,BV10001298,九棵树(地铁站),通州区,"116.657533,39.890278"
北京市,BV10013470,育知路(地铁站),昌平区,"116.326992,40.087863"
北京市,BV10416643,通州北关(地铁站),通州区,"116.661482,39.918368"
北京市,BV10013403,国展(地铁站),顺义区,"116.555127,40.070030"
北京市,BV10002455,梨园(地铁站),通州区,"116.668720,39.883677"
北京市,BV10740315,永丰南(地铁站),海淀区,"116.248154,40.065575"
北京市,BV10010394,义和庄(地铁站),大兴区,"116.319079,39.712387"
北京市,BV10416649,通运门(地铁站),通州区,"116.673284,39.910583"
北京市,BV10000877,生命科学园(地铁站),昌平区,"116.294230,40.094790"
北京市,BV10813547,四道桥(地铁站),门头沟区,"116.134010,39.916030"
